id,output
2159,(ORDER have 14 (PIZZAORDER (NUMBER extra ) (SIZE large ) spiach pizzas (TOPPING one ) small (NUMBER pizza ) with onions black olives and peppers and three large pepis ) )
2160,(ORDER (PIZZAORDER fetch me (NUMBER a ) (SIZE small ) pie and (TOPPING i'd ) like onion (NOT (TOPPING on ) it as well as bell peppers (NUMBER and ) a bunch of oregano that's all ) ) )
2161,(ORDER (PIZZAORDER (NUMBER place ) my order for (NUMBER a ) (SIZE personl ) pizza with bail and onions ) )
2162,(ORDER i would (PIZZAORDER (NUMBER like ) o order (TOPPING a ) lettuce and (QUANTITY peas ) large (TOPPING pizza ) and (NUMBER a ) (DRINKTYPE pineapple ) and lettuce medium pizza ) )
2163,(ORDER (PIZZAORDER (NUMBER for ) this afternoon (NOT (TOPPING i ) think i'd like one (NUMBER large ) (SIZE pie ) along garlic (TOPPING and ) some extra (QUANTITY sauteed ) (TOPPING spinach ) but hold sweet corn ) ) )
2164,(ORDER (PIZZAORDER (NUMBER fiften ) xl pizzas (TOPPING with ) sauce ) )
2165,(ORDER (PIZZAORDER repeat my (NUMBER a ) (TOPPING xl ) ham and (TOPPING sweet ) potates pie without (NOT (TOPPING any ) pesto ) ) )
2166,(ORDER i'm ordering (PIZZAORDER one (NUMBER xl ) peperonis (TOPPING pizza ) one xl (QUANTITY combination ) pizza (TOPPING without ) (TOPPING mushrooms ) one medium (QUANTITY beef ) and (TOPPING black ) olive pizza and five xl ice ea with no sugar ) )
2167,(ORDER (PIZZAORDER (NUMBER hook ) me up with (NUMBER two ) cans of (DRINKTYPE cokes ) and (NUMBER one ) (SIZE large-size ) pizza with sausage and (TOPPING ham ) ) )
2168,(ORDER repeat y (PIZZAORDER (NUMBER a ) (TOPPING luch ) everything ricotta cheese and (TOPPING pepperoni ) pizza ) )
2169,(ORDER get me (PIZZAORDER (NUMBER a ) xl pie without sausage and (NUMBER with ) tuna and (TOPPING ham ) ) )
2170,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE lunch ) pizza with (TOPPING pepperonis ) and (TOPPING leeks ) ) )
2171,(ORDER (PIZZAORDER (NUMBER good ) evening i (NOT (TOPPING want ) to order (NUMBER a ) (SIZE medium-sze ) mint and buffal (NUMBER sauce ) pie no extra cheese and i want a cherry pepsi ) ) )
2172,(ORDER i need (PIZZAORDER (NUMBER to ) place (TOPPING an ) (TOPPING order ) for (SIZE extra ) large pie with (TOPPING bbq ) sauce and supreme and (NOT (TOPPING without ) onions ) ) )
2173,(ORDER (PIZZAORDER (NUMBER twelve ) (SIZE small ) pizzas with (TOPPING peppers ) and (TOPPING gruyere ) cheese ) )
2174,(ORDER (PIZZAORDER i've decided on (NUMBER a ) new york (TOPPING style ) large-size (NUMBER pizza ) (SIZE but ) hold the goat cheese ) )
2175,(ORDER (PIZZAORDER (SIZE medium ) (TOPPING doctor ) pepper ) )
2176,(ORDER i'm aiming (PIZZAORDER (NUMBER for ) (TOPPING a ) xl (NUMBER beef ) (TOPPING pizza ) with pesto (NUMBER and ) lght cheese (TOPPING and ) a matcha (NUMBER latte ) ) )
2177,(ORDER i have (PIZZAORDER (NUMBER a ) (SIZE lunch ) pizza with (TOPPING alfredo ) chicken (TOPPING pepperoni ) but hold ham ) )
2178,(ORDER (PIZZAORDER can yu give (NUMBER me ) (NUMBER five ) (SIZE extralarge ) pizzas with (TOPPING sliced ) red (TOPPING cabbage ) and roasted red peppers ) )
2179,(ORDER (PIZZAORDER ilove to (TOPPING have ) a (NUMBER pizza ) with cheddar (TOPPING cheese ) and canadian (TOPPING bacon ) but no chicken ) )
2180,(ORDER (PIZZAORDER let me (STYLE finalize ) with an a little bit large pizza with vegetarian a medium pizza with sauce and a little bit ham and a medium pizza with pepperoni and ) )
2181,(ORDER i want (PIZZAORDER (NUMBER t ) (TOPPING have ) lnch pizza thin cust ) )
2182,(ORDER (PIZZAORDER (NUMBER a ) (SIZE mediu-sized ) pizza with jaapenos mushrooms onions (TOPPING pine ) apple (TOPPING bacon ) sausage and light (TOPPING cheese ) ) )
2183,(ORDER (PIZZAORDER (NUMBER reeat ) my order (NOT (TOPPING for ) a (NUMBER pizza ) and some double (TOPPING ham ) and duck but avoid jalapens ) ) )
2184,(ORDER let's put (PIZZAORDER in (TOPPING for ) a lunch (NUMBER roasted ) (SIZE garlic ) (TOPPING and ) red onions (TOPPING pie ) without pesto sauce (NOT (TOPPING please ) ) ) )
2185,(ORDER (PIZZAORDER put in an order (NUMBER for ) (NUMBER a ) (SIZE extra ) large gruyere cheese (TOPPING pizza ) and two (NUMBER medium ) (SIZE italian ) (DRINKTYPE sausage pizzas ) and four (NUMBER extra ) (SIZE large ) mountain (DRINKTYPE dews ) ) )
2186,(ORDER (PIZZAORDER i'd like (NUMBER to ) put an order (NOT (TOPPING in ) for a (NUMBER medium-size ) (SIZE high-rise ) pizza without the mushy peas ) ) )
2187,(ORDER want 1 (PIZZAORDER pie which (NUMBER is ) medium-sie along with gruyere cheese (TOPPING and ) peppers but no all the meats ) )
2188,(ORDER (PIZZAORDER i thnk i'll try fourteen pizzas and (NUMBER i'd ) like them (TOPPING all ) small i'd (QUANTITY like ) all of (TOPPING them ) with (QUANTITY humus ) and (TOPPING mushrooms ) but without peppers ) )
2189,(ORDER (PIZZAORDER (NUMBER for ) tonight i just (NUMBER want ) (SIZE a ) large-size pizza pie and for (NUMBER tonight ) i just want (TOPPING both ) artichokes and (TOPPING grilled ) chicken on it but please no ham ) )
2190,(ORDER good evening i (PIZZAORDER need (NUMBER ten ) pizzas and (TOPPING i ) please top (NOT (TOPPING them ) all (NUMBER with ) arugula and spicy red sauce but no ricottacheese on any of them that's it for now ) ) )
2191,(ORDER i'd hae (PIZZAORDER (NUMBER fifeen ) (STYLE pizzas ) with vegan pepperoni (TOPPING galic ) powder (TOPPING and ) onions ) )
2192,(ORDER (PIZZAORDER (SIZE yeah ) just (TOPPING get ) me (NUMBER a ) xl gruyere (TOPPING cheese ) bell peppers and (TOPPING tuna ) pizza please ) )
2193,(ORDER i would (PIZZAORDER liketo (TOPPING try ) the fifteen (NUMBER hummus ) (DRINKTYPE pizzas ) for me ) )
2194,(ORDER (PIZZAORDER can you sort out (TOPPING two ) sweet corn (TOPPING and ) carrots pizzas with (NOT (TOPPING no ) pepperoni ) ) )
2195,(ORDER i'd appreciate (PIZZAORDER 1 (NUMBER xl ) basil (TOPPING and ) chicken pizza (TOPPING with ) no mushrooms ) )
2196,(ORDER (PIZZAORDER put in an order for (NUMBER five ) (SIZE medium-sized ) pizzas with arugula ) )
2197,(ORDER i would (PIZZAORDER (NUMBER like ) (TOPPING eeven ) Fruit punch to go with a medium (TOPPING garlic ) powder pizza ) )
2198,(ORDER (PIZZAORDER (NUMBER 13 ) (SIZE lunch ) pizzas with (TOPPING zucchini ) mint and (TOPPING green ) bell peppers ) )
2199,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE lunch ) pizza with (TOPPING tomatoes ) (TOPPING double ) hummus and no pesto ) )
2200,(ORDER please put (PIZZAORDER up (NUMBER a ) (SIZE medium ) pizza with (TOPPING tuna ) and (TOPPING sausage ) and no (NOT (TOPPING pepperoni ) please ) ) )
2201,(ORDER i wantd (PIZZAORDER a (NUMBER medium ) (SIZE pie ) along with (TOPPING roasted ) garlic and cumin (TOPPING but ) avoid (QUANTITY a ) tiny bit of (TOPPING red ) cabbage ) )
2202,(ORDER i'd love (PIZZAORDER (NUMBER to ) place an (TOPPING order ) for a medium-sized (TOPPING pizza ) (SIZE with ) grilled roasted red onion (TOPPING and ) roasted red onion (TOPPING and ) i don't want it it have a thin crust ) )
2203,(ORDER (PIZZAORDER pease help me order 1 (NUMBER personal ) (SIZE carrots ) and ham (TOPPING pizza ) and please leave (NOT (TOPPING off ) the olives ) ) )
2204,(ORDER (PIZZAORDER (NUMBER okay ) let me (NOT (TOPPING think ) i'll have a (NUMBER large ) (SIZE pizza ) with sauteedspinach (TOPPING and ) a drizze cheese but (NUMBER no ) olives please ) ) )
2205,(ORDER i'd love (PIZZAORDER (NUMBER to ) try out (TOPPING a ) pizza (NUMBER with ) pesto as (TOPPING well ) as green (NOT (TOPPING olives ) however i do not want any peppers thank you ) ) )
2206,(ORDER my order s (PIZZAORDER for (NUMBER a ) (SIZE large-size ) pizza with green pepper (TOPPING also ) if you could also put some pepperoni on (NUMBER there ) and (NUMBER if ) you could also have that with pineapple ) )
2207,(ORDER i need (PIZZAORDER (NUMBER two ) (SIZE extra ) large pizzas with (TOPPING red ) cabbage and (TOPPING meatball ) and (NUMBER add ) (DRINKTYPE two ) waters to it ) )
2208,(ORDER putup a (PIZZAORDER (NUMBER large ) (SIZE oive ) (TOPPING and ) pineapple (TOPPING pie ) no extra cheese (NOT (TOPPING and ) i want a (DRINKTYPE herbal teas ) ) ) )
2209,(ORDER (PIZZAORDER make an orde (NOT (TOPPING for ) 1 (NUMBER medium-sized ) (SIZE mxican ) pizza and 1 small (TOPPING veggie ) pizza (NUMBER and ) (SIZE three ) (DRINKTYPE large ) Flavored (NUMBER water ) ) ) )
2210,(ORDER let me (PIZZAORDER (NUMBER get ) a pizza with (TOPPING sausage ) and (TOPPING balsamic ) glaze without any (NOT (STYLE chorizo ) ) ) )
2211,(ORDER let me (PIZZAORDER (NUMBER prefer ) (SIZE a ) large pizza and (TOPPING make ) it with (QUANTITY a ) lot of (TOPPING bacn ) big met and (TOPPING put ) pesto on there too thanks ) )
2212,(ORDER (PIZZAORDER please make me (NUMBER three ) pies i (TOPPING want ) all of them with (TOPPING roasted ) garlic feta cheese and also sweet corn thanks a lot ) )
2213,(ORDER i need (PIZZAORDER to put in an order for (NUMBER 1 ) (SIZE extra ) large size pizza with (TOPPING unsweetened ) ce teas ) )
2214,(ORDER (PIZZAORDER okay let me think okay i'll take a (NUMBER small ) (SIZE pizza ) (SIZE with ) smoked salmon (TOPPING prawns ) and lettuce ) )
2215,(ORDER i'dappreciate a (PIZZAORDER (NUMBER luch ) leeks (TOPPING pizza ) (TOPPING with ) bbq (TOPPING sauce ) and green (QUANTITY peppers ) ) )
2216,(ORDER i would (PIZZAORDER (NUMBER like ) you (TOPPING to ) order (TOPPING me ) (NUMBER a ) (SIZE large-size ) pie with feta pesto (TOPPING and ) bacon ) )
2217,(ORDER i (PIZZAORDER think i'll (NUMBER order ) (TOPPING a ) margarita (NUMBER with ) (SIZE peas ) and mushrooms (TOPPING and ) make it (TOPPING a ) medim ) )
2218,(ORDER i would (PIZZAORDER (NUMBER like ) (NUMBER your ) (NUMBER a ) lunh pizza with kimchi (TOPPING sweet ) corn (TOPPING and ) bacon ) )
2219,(ORDER (PIZZAORDER (NUMBER for ) tonight i just (NUMBER want ) one lunch pie along (TOPPING with ) lettuce black olives but hold zucchini ) )
2220,(ORDER id appreciate (PIZZAORDER (NUMBER a ) (TOPPING xl ) bacon and (TOPPING peppers ) pie (TOPPING and ) i do (TOPPING not ) want pineapple ) )
2221,(ORDER (PIZZAORDER i 'd (NUMBER like ) (TOPPING to ) (TOPPING get ) a (NUMBER stuff ) crust cmin pie with pesto ) )
2222,(ORDER (PIZZAORDER place my (TOPPING order ) for (NUMBER a ) (SIZE medium ) (CONTAINERTYPE pizza ) with (DRINKTYPE lamb ) ) )
2223,(ORDER (PIZZAORDER put in the order for (NUMBER four ) med sprite (NUMBER and ) two (TOPPING med ) pizzas with (TOPPING gluten-free ) crust except pineapple and onions ) )
2224,(ORDER i want (PIZZAORDER to (NUMBER get ) a pizza (TOPPING and ) i want to (QUANTITY get ) the xl (TOPPING size ) but i'd (TOPPING like ) yellow pepers on there as well as bacon and pepperoni thanks a ) )
2225,(ORDER (PIZZAORDER do me (NUMBER a ) favor and (TOPPING please ) put up (NUMBER a ) pizza with (TOPPING tofu ) pine apple but (STYLE do ) (TOPPING not ) add beef ) )
2226,(ORDER i think (PIZZAORDER (NUMBER 'll ) grab 1 (NUMBER large-size ) (SIZE pizza ) with black olive and (TOPPING chicken ) but do (TOPPING not ) add any (QUANTITY extra ) cheese please ) )
2227,(ORDER (PIZZAORDER i thinki'll (NUMBER grab ) (TOPPING a ) lare (NUMBER tofu ) (DRINKTYPE pizza ) and two Protein (DRINKTYPE shakes ) ) )
2228,(ORDER i am (PIZZAORDER (NUMBER trying ) (STYLE to ) order (QUANTITY a ) lunch (TOPPING black ) beans pizza with more (TOPPING banana ) peppers hold the (NOT (TOPPING mushrooms ) ) ) )
2229,(ORDER i'll go (PIZZAORDER (NUMBER fo ) (TOPPING the ) a sall (QUANTITY pizza ) (TOPPING with ) feta (TOPPING zucchini ) and mushrooms on it ) )
2230,(ORDER i'l just (PIZZAORDER (NUMBER take ) (SIZE a ) (STYLE small ) veggie pizza (TOPPING with ) caramelized onions (TOPPING and ) fresh green (TOPPING olives ) ) )
2231,(ORDER (PIZZAORDER eght canadian (TOPPING bacon ) and tofu (TOPPING pizzas ) ) )
2232,(ORDER set (PIZZAORDER me up with (NUMBER two ) (SIZE personal ) pizzas with (TOPPING roasted ) garlic and (TOPPING mushrooms ) and (NUMBER one ) (SIZE small ) pizza with (QUANTITY a ) little (TOPPING bit ) cheese ) )
2233,(ORDER repeat my favorite (PIZZAORDER order of a lunch pizza with (TOPPING mushroom ) and (TOPPING beef ) on it no pesto ) )
2234,(ORDER can i ry (PIZZAORDER (NUMBER a ) (SIZE medium-size ) bbq sauce (TOPPING tomatoe ) sauce pizza without black beans ) )
2235,(ORDER (PIZZAORDER i'd like to (TOPPING order ) a pie (TOPPING which ) is medium-sizd (NUMBER along ) (SIZE with ) roasted tomatos and peppers (TOPPING but ) no all the (NOT (TOPPING veggies ) ) ) )
2236,(ORDER could i place (PIZZAORDER (NUMBER an ) (TOPPING oder? ) 1 (NUMBER small ) (SIZE pizza ) along with (TOPPING mint ) and pineapple (NOT (TOPPING but ) avoid sausage ) ) )
2237,(ORDER i'd apprecate (PIZZAORDER (NUMBER a ) small (TOPPING parsley ) pizza (NUMBER with ) (SIZE little ) pesto and (QUANTITY no ) olives ) )
2238,(ORDER i need (PIZZAORDER (NUMBER you ) to orer me (NUMBER eleven ) (SIZE largesize ) vegan pepperoni (NOT (TOPPING pizzas ) with (NUMBER a ) little sauce and extra cheese ) ) )
2239,(ORDER i wanted (PIZZAORDER to (NUMBER have ) (NUMBER a ) (NUMBER medium-sized ) pizza with toatoes and (TOPPING ham ) and (TOPPING no ) litle cheese ) )
2240,(ORDER (PIZZAORDER plese can i have a (NUMBER lunh ) pizza and (TOPPING the ) toppings i (TOPPING want ) are roasted eggplant and tuna olives please ) )
2241,(ORDER (PIZZAORDER can you (NUMBER please ) give me (QUANTITY a ) small (TOPPING ricotta ) cheese and (TOPPING shrimp ) pizza and no (NOT (TOPPING italian ) sausage please ) ) )
2242,(ORDER (PIZZAORDER good evening how are you please put up (TOPPING a ) pizza along (TOPPING with ) black olives cherry tomatoes (NOT (STYLE but ) no roasted eggplant ) ) )
2243,(ORDER (PIZZAORDER do me (NUMBER a ) favor and (TOPPING please ) put up (NUMBER 1 ) (SIZE small ) hams pizza (TOPPING with ) peppers feta (TOPPING and ) green olives (NUMBER and ) (SIZE a ) (DRINKTYPE small Apple ) juice ) )
2244,(ORDER (PIZZAORDER good evening how are you please put (TOPPING up ) a pie along with (TOPPING parmasean ) pineapples and without tuna ) )
2245,(ORDER (PIZZAORDER (NUMBER sort ) me out (TOPPING wth ) ffteen (TOPPING med ) pizzas for me both with roasted (TOPPING garlic ) and alfredo chicken and without olives ) )
2246,(ORDER (PIZZAORDER (NUMBER get ) a (NUMBER extra ) large pizza with (TOPPING shimp ) and a (NUMBER extra ) large pizza with pepperoni (TOPPING and ) double (TOPPING cheese ) and i'd like two large cokes and a small mountain dew ) )
2247,(ORDER (PIZZAORDER can yu get (NUMBER me ) (SIZE a ) lunch (TOPPING red ) onions and sun-dried (TOPPING tomatoes ) pie with doule cheese ) )
2248,(ORDER i would (PIZZAORDER (NUMBER like ) you to (TOPPING order ) me (NUMBER eight ) pizzas with (TOPPING more ) hummus (TOPPING and ) balsamic glaze ) )
2249,(ORDER i need (PIZZAORDER (NUMBER you ) to order me a pie with (TOPPING jalepeno ) peppers pineapple and (NOT (TOPPING no ) tuna ) ) )
2250,(ORDER i'd (PIZZAORDER have (NOT (TOPPING a ) large-sze (NUMBER arugula ) (SIZE and ) (TOPPING shrimp ) (TOPPING pizza ) with peas ) ) )
2251,(ORDER i want (PIZZAORDER (NUMBER to ) (NUMBER have ) (NUMBER a ) (SIZE large ) (TOPPING glutn-free ) crust onions mushrooms and pinapple pizza ) )
2252,(ORDER i need (PIZZAORDER (NUMBER to ) place an (TOPPING order ) for (NUMBER a ) (SIZE medium-sied ) green peppers and fontina cheese (NUMBER pizza ) with no yellow pepers (NOT (TOPPING please ) ) ) )
2253,(ORDER (PIZZAORDER i've decided (TOPPING on ) (TOPPING a ) (NUMBER mdium-size ) (NUMBER ricotta ) cheese pizza with (TOPPING red ) onons and no (TOPPING peppers ) ) )
2254,(ORDER i'm aiming (PIZZAORDER (NUMBER for ) (STYLE a ) high-rise alfredo (TOPPING chicken ) pie with heavyon sriracha sauce ) )
2255,(ORDER i wanna (PIZZAORDER get (SIZE 1 ) (SIZE small ) pizza with (TOPPING peppers ) and (TOPPING meatball ) and no (NOT (TOPPING pepperoni ) ) ) )
2256,(ORDER i wanted (PIZZAORDER (NUMBER a ) (SIZE small ) pie along with (TOPPING roasted ) eggplant and (NUMBER add ) some extra (QUANTITY anchovies ) (TOPPING but ) hold onions ) )
2257,(ORDER (PIZZAORDER (NUMBER place ) my order for (NUMBER a ) (SIZE medium-size ) jalepenos pie with extra alfredo chicken (NOT (TOPPING and ) no beef ) ) )
2258,(ORDER i'm havinga (PIZZAORDER (NUMBER bunch ) (STYLE of ) people over tonight (TOPPING so ) i need a lunch (NUMBER pizza ) (SIZE with ) yellow peppers (TOPPING and ) bacon and (NUMBER a ) (SIZE medium ) (DRINKTYPE iced tea ) ) )
2259,(ORDER i have (PIZZAORDER some (NUMBER friends ) coming over (NOT (TOPPING so ) i'll take a (NUMBER large ) (SIZE pie ) along with (QUANTITY sweet ) potatoes (TOPPING and ) (TOPPING big ) meat bayleaves ) ) )
2260,(ORDER how about placing (PIZZAORDER (TOPPING an ) order for (TOPPING a ) green olives and tuna pizza without onions ) )
2261,(ORDER (PIZZAORDER place an order (NUMBER for ) a pizza with (TOPPING smoked ) salmon sausage but hold mushrooms ) )
2262,(ORDER iwill try (PIZZAORDER a (NUMBER large-size ) (SIZE onion ) and leeks pie with no (TOPPING ground ) beef ) )
2263,(ORDER let me have (PIZZAORDER (NUMBER four ) (SIZE large ) (STYLE Juice ) boxes (NUMBER one ) small (TOPPING coke ) along (QUANTITY with ) two large (TOPPING green ) pepper pizzas with (TOPPING light ) parmsan ) )
2264,(ORDER this afternoon (PIZZAORDER i need (NUMBER just ) (SIZE a ) extra large pie along (TOPPING with ) chard and add (QUANTITY some ) a little (TOPPING bit ) tuna but hold onions ) )
2265,(ORDER (PIZZAORDER my order today (TOPPING is ) for (NUMBER 10 ) (SIZE lunch ) pizzas with (TOPPING sliced ) buffalo sauce and lamb ) )
2266,(ORDER (PIZZAORDER (NUMBER h ) how are (NOT (TOPPING you ) i have an order (NUMBER for ) (SIZE four ) of pizzas (TOPPING make ) them (QUANTITY both ) extra (NOT (TOPPING large ) please i want tuna tofu but hold the onions ) ) )
2267,(ORDER (PIZZAORDER (NUMBER eight ) (SIZE lunch ) pizzas with (TOPPING red ) peppers garlic and ham ) )
2268,(ORDER i would like (PIZZAORDER to (TOPPING try ) the (NUMBER a ) (SIZE medium ) pie with (TOPPING garlic ) olives and (TOPPING ham ) please ) )
2269,(ORDER i'm going (PIZZAORDER (NUMBER to ) have pie (TOPPING which ) is feta (TOPPING cheese ) and arugua and no onions ) )
2270,(ORDER i (PIZZAORDER would (NUMBER love ) to get (NUMBER a ) lnch hams red peppers pizza without lemon zest ) )
2271,(ORDER (PIZZAORDER (NUMBER a ) (STYLE med ) pizza with no (NOT (TOPPING pesto ) please ) ) )
2272,(ORDER (PIZZAORDER how about setting (NOT (TOPPING me ) up 1 (NUMBER lage ) pizza with thin (TOPPING crust ) and (TOPPING cherry ) tomatoes and no kimchi ) ) )
2273,(ORDER (PIZZAORDER (NUMBER a ) (STYLE xl ) meatball only (NUMBER pizza ) (TOPPING and ) a (NUMBER medium ) (SIZE lamb ) (DRINKTYPE and ) feta pizza nothing to drink ) )
2274,(ORDER i like (PIZZAORDER (NUMBER a ) (SIZE extra ) large (STYLE canadian ) bacon pizza a (QUANTITY large ) (TOPPING ham ) and (TOPPING mushroom ) a (QUANTITY large ) all the (TOPPING veggies ) and (QUANTITY a ) (SIZE extra ) large pepperoni pizza ) )
2275,(ORDER (PIZZAORDER (NUMBER for ) today i just (QUANTITY want ) a small (TOPPING truffle ) oil and artichokes pizza without the extra (TOPPING leeks ) ) )
2276,(ORDER (PIZZAORDER begin an order for (NUMBER a ) (SIZE lunch ) pizza with (TOPPING mint ) and (TOPPING low ) fat cheese but leave off the bail ) )
2277,(ORDER please may i (PIZZAORDER have (NUMBER a ) pie with (TOPPING hot ) peppers parmasean and lamb please ) )
2278,(ORDER ok i want (PIZZAORDER (NUMBER a ) xl spicy red sauce and (TOPPING garlic ) pie with no (NOT (TOPPING gruyere ) cheese ) ) )
2279,(ORDER i'd (PIZZAORDER like (NUMBER to ) order a extra (QUANTITY large ) vegan pepperoni (TOPPING and ) onion pizza (TOPPING with ) no bacon ) )
2280,(ORDER i like (PIZZAORDER (NUMBER to ) (STYLE have ) a meat lovers pizza with (TOPPING red ) onion and (QUANTITY no ) extra (TOPPING muhroom ) please ) )
2281,(ORDER i would tae (PIZZAORDER 5 personl pizzas (TOPPING with ) zucchini (TOPPING got ) cheese and black (TOPPING olives ) and six (NUMBER large ) (SIZE pizzas ) with pepperoni sausage and got cheese ) )
2282,(ORDER (PIZZAORDER do me (NUMBER a ) favor and (TOPPING make ) me (TOPPING a ) garlic and (TOPPING pepper ) pizza with no al the veggies ) )
2283,(ORDER i'd like (PIZZAORDER (NUMBER to ) put in an order for two xl (NUMBER pizzas ) with buffalo (TOPPING sauce ) and bell peppes but no olives please ) )
2284,(ORDER (PIZZAORDER (SIZE extra ) large pizza with (TOPPING pepperonis ) and (TOPPING gluten-free ) crust no sauce ) )
2285,(ORDER repeat my (PIZZAORDER (NUMBER a ) (STYLE thin ) crust pizza with (TOPPING olives ) and no (NOT (TOPPING additional ) green olves ) ) )
2286,(ORDER i wanted (PIZZAORDER (NUMBER a ) (SIZE medium-size ) banana peppers (TOPPING and ) tomato sauce (TOPPING pie ) no green olives ) )
2287,(ORDER i just need (PIZZAORDER a pizza with (TOPPING roastd ) garlic bacon but hold (NOT (TOPPING the ) additional cheese ) ) )
2288,(ORDER have six (PIZZAORDER (NUMBER medium-sized ) (SIZE cokes ) ) )
2289,(ORDER could i opt (PIZZAORDER (NUMBER for ) (SIZE a ) medium-sized pizza with gorgonzola and (TOPPING a ) thin (TOPPING crust ) but (QUANTITY no ) (TOPPING sausage ) ) )
2290,(ORDER (PIZZAORDER i'd prefer (NUMBER to ) go with a medium-sized (NUMBER pizza ) with gruyere cheese and sun-dried (TOPPING tomatoes ) and no cherry (NOT (TOPPING tmatoes ) ) ) )
2291,(ORDER i'm leaning (PIZZAORDER (NUMBER toward ) (TOPPING a ) medim-sized (NUMBER pie ) (SIZE with ) bbq chcken peppers and no onions please ) )
2292,(ORDER looking for (PIZZAORDER (NUMBER a ) xl pizza with (TOPPING parsley ) and (TOPPING jalapenos ) but no (NOT (STYLE meatall ) ) ) )
2293,(ORDER (PIZZAORDER (NUMBER how ) about placing an (NUMBER order ) (CONTAINERTYPE for ) 5 kombucha six lrge-size (NUMBER doctor ) (SIZE peppers and ) (NUMBER five ) (SIZE lrge-size ) (DRINKTYPE diet cokes ) ) )
2294,(ORDER i'd be (PIZZAORDER (NUMBER happywith ) six pizzas (NUMBER all ) with caramelized (TOPPING onions ) (TOPPING prosciutto ) and cuin please ) )
2295,(ORDER (PIZZAORDER how about grabbig a pie in medium size (NUMBER along ) (SIZE with ) bell peppers (TOPPING and ) gorgonzola but (TOPPING without ) mushrooms ) )
2296,(ORDER i'd like (PIZZAORDER (NUMBER to ) (NUMBER place ) (DRINKTYPE an ) order or (NUMBER eight ) (DRINKTYPE sprites ) six (NUMBER xl ) (DRINKTYPE dr peppers ) and (NUMBER five ) (DRINKTYPE xl diet ) cokes ) )
2297,(ORDER (PIZZAORDER how about you (NOT (TOPPING get ) me (NUMBER a ) (SIZE medium-sized ) goat cheese and hams (TOPPING pizza ) with vgan ) ) )
2298,(ORDER i'd like (PIZZAORDER to (TOPPING try ) fifteen pizzas (TOPPING make ) them both (QUANTITY med ) (NOT (TOPPING i ) want olives onions and pesto as well thanks a lot ) ) )
2299,(ORDER (PIZZAORDER hi how are you (NOT (TOPPING okay ) today i'd like to order ten etra large pizzas (TOPPING with ) capers and mushy peas ) ) )
2300,(ORDER (PIZZAORDER (TOPPING pease ) give me (NUMBER a ) pizza with no (NOT (TOPPING artichokes ) ) ) )
2301,(ORDER i need (PIZZAORDER (NUMBER 11 ) (SIZE medium ) pizzas with (TOPPING bbq ) sauce and (TOPPING additional ) ham and (NUMBER one ) (SIZE medium ) pizza with pepperoni ) )
2302,(ORDER (PIZZAORDER i've decided (NUMBER on ) 1 pizza in (TOPPING xl ) size (NUMBER along ) (SIZE with ) leeks olives (TOPPING sausage ) ) )
2303,(ORDER (PIZZAORDER i'm readyto (NUMBER have ) (TOPPING 1 ) large-size pie (NUMBER with ) (SIZE mushy ) peas caramelized onions and (TOPPING pineapple ) please ) )
2304,(ORDER (PIZZAORDER (NUMBER good ) evening for (NOT (TOPPING tonight ) i'd like to try 9 (NUMBER lunch ) (SIZE red ) onions pizzas and one (NUMBER large ) (SIZE parasean ) (DRINKTYPE pizza ) ) ) )
2305,(ORDER (PIZZAORDER (NUMBER my ) order for (NUMBER today ) (TOPPING is ) for (NUMBER a ) (SIZE large ) pizza with (TOPPING balsamic ) glaze ) )
2306,(ORDER for today i (PIZZAORDER (NUMBER just ) wnt gruyere cheese (TOPPING hummus ) without red cabbage (TOPPING pizza ) ) )
2307,(ORDER i ill (PIZZAORDER try the a (TOPPING lunh ) bacon and (TOPPING psto ) pizza with no (NOT (STYLE sausage ) ) ) )
2308,(ORDER i ike (PIZZAORDER (NUMBER a ) (TOPPING pickled ) onions and pepperoni (TOPPING pie ) with a dizzle (TOPPING cheese ) ) )
2309,(ORDER (PIZZAORDER fiften medium-size tofu (NUMBER and ) (SIZE a ) two (TOPPING liter ) Sports (NUMBER drinks ) ) )
2310,(ORDER (PIZZAORDER could you please (STYLE arrange ) for a (TOPPING med ) all the (TOPPING meats ) argula and (TOPPING ham ) pie ) )
2311,(ORDER (PIZZAORDER (NUMBER for ) tonight i just (NUMBER want ) (SIZE a personal ) pizza with (TOPPING cumin ) oregano (TOPPING and ) leks ) )
2312,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE lare-size ) pizza with pesto bacon and (TOPPING avoid ) onions ) )
2313,(ORDER (PIZZAORDER (NUMBER how ) about lacing an order for 15 (NUMBER large-size ) (SIZE fta ) cheese and chicken pies with no ham ) )
2314,(ORDER (PIZZAORDER i'm aiming for a pizza (NUMBER which ) is med (NOT (TOPPING in ) size along (NUMBER with ) (SIZE artichoes ) and mushrooms but no pineapple ) ) )
2315,(ORDER (PIZZAORDER (NUMBER six ) (SIZE large-size ) pizzas with pepperonis and (TOPPING salami ) ) )
2316,(ORDER (PIZZAORDER i think i'll have five pizzas (NUMBER and ) i'd like (TOPPING them ) all with (QUANTITY artichokes ) (TOPPING and ) banana (TOPPING pepper ) (TOPPING but ) without lamb ) )
