order,output
2167,(ORDER (PIZZAORDER hook me up with (NUMBER two ) cans of (TOPPING cokes ) and (NUMBER one ) (SIZE large-size ) pizza with sausage and (TOPPING ham ) ) )
2168,(ORDER repeat y (PIZZAORDER (NUMBER a ) (SIZE much ) everything (TOPPING ricotta ) (TOPPING cheese ) and (TOPPING pepperoni ) pizza ) )
2169,(ORDER get me (PIZZAORDER (NUMBER a ) al pie without (TOPPING sausage ) and with (TOPPING tuna ) and (TOPPING ham ) ) )
2170,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE lunch ) pizza with (TOPPING pepperonis ) and (TOPPING leeks ) ) )
2171,(ORDER (PIZZAORDER good evening i want to order (NUMBER a ) (SIZE medium-sze ) mint and buffalo sauce (TOPPING pie ) (TOPPING no ) extra cheese and (NOT (TOPPING i ) want a cherry pepsi ) ) )
2172,(ORDER i need (PIZZAORDER to place an order for (SIZE extra ) large pie with be (TOPPING sauce ) and (TOPPING supreme ) and without (NOT (TOPPING onions ) ) ) )
2173,(ORDER (PIZZAORDER (NUMBER twelve ) (SIZE small ) pizzas with (TOPPING peppers ) and (TOPPING gruyeres ) cheese ) )
2174,(ORDER (PIZZAORDER i've decided on a (NUMBER new ) (SIZE york ) (STYLE style ) large-size pizza but hold the goat cheese ) )
2175,(ORDER (PIZZAORDER (SIZE medium ) (TOPPING doctor ) pepper ) )
2176,(ORDER i'm aiming (PIZZAORDER for a al (NUMBER beef ) pizza (TOPPING with ) pesto and (TOPPING light ) cheese (TOPPING and ) (TOPPING a ) match (NUMBER latte ) ) )
2177,(ORDER i have (PIZZAORDER (NUMBER a ) (SIZE lunch ) pizza with (TOPPING alfredo ) (TOPPING chicken ) (TOPPING pepperoni ) but hold (NOT (TOPPING ham ) ) ) )
2178,(ORDER (PIZZAORDER can you give me (NUMBER five ) (SIZE extralarge ) pizzas with sliced red cabbage (TOPPING and ) (TOPPING roasted ) red (TOPPING peppers ) ) )
2179,(ORDER love to have (PIZZAORDER (NUMBER a ) pizza with (TOPPING cheddar ) (TOPPING cheese ) and (TOPPING canadian ) bacon but no (NOT (TOPPING chicken ) ) ) )
2180,(ORDER (PIZZAORDER let me (STYLE finalize ) with an a (SIZE little ) (STYLE bit ) (STYLE large ) pizza with vegetarian a (SIZE medium ) pizza with sauce and a (SIZE little ) (STYLE bit ) ham and a (SIZE medium ) pizza with pepperoni and ) )
2181,(ORDER i want (PIZZAORDER t have (SIZE lunch ) (STYLE pizza ) thin just ) )
2182,(ORDER (PIZZAORDER (NUMBER a ) (SIZE mediu-sized ) pizza with jalapeños mushrooms onions (TOPPING pine ) apple (TOPPING bacon ) sausage and light (TOPPING cheese ) ) )
2183,(ORDER repeat (PIZZAORDER my order for (NUMBER a ) pizza and some double (TOPPING ham ) and (TOPPING duck ) but avoid (NOT (TOPPING jalapeño ) ) ) )
2184,(ORDER let's put (PIZZAORDER in for a lunch (NUMBER roasted ) (SIZE garlic ) (TOPPING and ) (TOPPING red ) onions (TOPPING pie ) (TOPPING without ) pesto sauce (NOT (TOPPING please ) ) ) )
2185,(ORDER (PIZZAORDER put in an order for (NUMBER a ) (SIZE extra ) large gruyeres cheese pizza and two medium (NUMBER italian ) (SIZE sausage ) (STYLE pizzas ) and four extra (SIZE large ) (SIZE mountain ) dews ) )
2186,(ORDER (PIZZAORDER i'd like to put an order in for a medium-size (NUMBER highrise ) (SIZE pizza ) without the mushy peas ) )
2187,(ORDER want 1 (PIZZAORDER pie which is medium-sie along with gruyeres cheese and peppers but (TOPPING no ) all the meats ) )
2188,(ORDER i think (PIZZAORDER i'll try fourteen pizzas (NUMBER and ) i'd like (TOPPING them ) all small i'd like all of (TOPPING them ) with humus and mushrooms but without peppers ) )
2189,(ORDER (PIZZAORDER for tonight i just want (SIZE a ) (SIZE large-size ) pizza pie and for tonight i just want both artichokes and grilled chicken on it but please no ham ) )
2190,(ORDER good evening i (PIZZAORDER need (NUMBER ten ) pizzas and (TOPPING i ) please top them all with (TOPPING arugula ) and (TOPPING spicy ) (TOPPING red ) sauce but no ricottacheese on any of them that's it for now ) )
2191,(ORDER i'd hae (PIZZAORDER fifteen pizzas with (NUMBER vegan ) pepperoni garlic (TOPPING powder ) and (TOPPING onions ) ) )
2192,(ORDER (PIZZAORDER yeah just get me (NUMBER a ) al gruyeres cheese bell peppers and (TOPPING tuna ) pizza (TOPPING please ) ) )
2193,(ORDER i would like (PIZZAORDER try the fifteen hummus pizzas for me ) )
2194,(ORDER (PIZZAORDER can you sort out (NUMBER two ) sweet corn and (TOPPING carrots ) pizzas with no (NOT (TOPPING pepperoni ) ) ) )
2195,(ORDER i'd appreciate (PIZZAORDER 1 al (NUMBER basil ) and (TOPPING chicken ) pizza (TOPPING with ) no mushrooms ) )
2196,(ORDER (PIZZAORDER put in an order for (NUMBER five ) (SIZE medium-sized ) pizzas with arugula ) )
2197,(ORDER i would (PIZZAORDER like even Fruit punch to go with (NUMBER a ) (SIZE medium ) (TOPPING garlic ) (TOPPING powder ) pizza ) )
2198,(ORDER (PIZZAORDER (NUMBER 13 ) (SIZE lunch ) pizzas with zucchini (TOPPING mint ) and (TOPPING green ) (TOPPING bell ) peppers ) )
2199,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE lunch ) pizza with (TOPPING tomatoes ) double (TOPPING hummus ) and no (NOT (TOPPING pesto ) ) ) )
2200,(ORDER please put (PIZZAORDER up (NUMBER a ) (SIZE medium ) pizza with (TOPPING tuna ) and (TOPPING sausage ) and no (NOT (TOPPING pepperoni ) please ) ) )
2201,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE medium ) pie along with (TOPPING roasted ) (TOPPING garlic ) and (TOPPING cumin ) but avoid a (NOT (STYLE tiny ) bit of (TOPPING red ) (TOPPING cabbage ) ) ) )
2202,(ORDER i'd love (PIZZAORDER to place an order for a medium-sized (SIZE pizza ) (SIZE with ) grilled roasted red onion (TOPPING and ) roasted (TOPPING red ) onion and (TOPPING i ) don't want it it have a thin crust ) )
2203,(ORDER (PIZZAORDER pease help me order 1 (NUMBER personal ) (SIZE carrots ) (TOPPING and ) ham (TOPPING pizza ) and please leave off the olives ) )
2204,(ORDER (PIZZAORDER okay let me think i'll have a large (NUMBER pizza ) (SIZE with ) sauteedspinach and a drizzle cheese but no olives please ) )
2205,(ORDER i'd love (PIZZAORDER to try out a pizza (NUMBER with ) pesto as (TOPPING well ) as green olives (TOPPING however ) (TOPPING i ) do not want any peppers thank you ) )
2206,(ORDER my order s (PIZZAORDER for (NUMBER a ) (SIZE large-size ) pizza with green pepper (TOPPING also ) if (TOPPING you ) could also put (TOPPING some ) pepperoni on there and if you could also have that with pineapple ) )
2207,(ORDER i need (PIZZAORDER (NUMBER two ) (SIZE extra ) large pizzas with (TOPPING red ) (TOPPING cabbage ) and (TOPPING meatball ) and (NUMBER add ) (DRINKTYPE two ) waters to it ) )
2208,(ORDER cutup a (PIZZAORDER (NUMBER large ) (SIZE give ) (TOPPING and ) pineapple (TOPPING pie ) no extra (NOT (QUANTITY cheese ) (NOT (TOPPING and ) i want a (NUMBER herbal ) (DRINKTYPE teas ) ) ) )
2209,(ORDER (PIZZAORDER make an order for (NUMBER 1 ) (SIZE medium-sized ) mexican pizza (STYLE and ) 1 small (NUMBER veggie ) (SIZE pizza ) and three large (NUMBER Flavored ) (SIZE water ) ) )
2210,(ORDER let me (PIZZAORDER get (NUMBER a ) pizza with (TOPPING sausage ) and (TOPPING balsamic ) (TOPPING glaze ) without any (NOT (QUANTITY chorizo ) ) ) )
2211,(ORDER let me (PIZZAORDER prefer (NUMBER a ) (SIZE large ) pizza and make it with (QUANTITY a ) (STYLE lot ) of back (TOPPING big ) (TOPPING met ) and put (TOPPING pesto ) on there too thanks ) )
2212,(ORDER (PIZZAORDER please make me (NUMBER three ) pies i want all of them with (TOPPING roasted ) (TOPPING garlic ) (TOPPING feta ) cheese and also (TOPPING sweet ) corn thanks a lot ) )
2213,(ORDER i need (PIZZAORDER to put in an order for (NUMBER 1 ) (SIZE extra ) large size pizza with unsweetened (TOPPING ce ) teas ) )
2214,(ORDER (PIZZAORDER okay let me think okay i'll take a small (NUMBER pizza ) (SIZE with ) smoked salmon prawns and lettuce ) )
2215,(ORDER i'dappreciate a (PIZZAORDER much leeks pizza with be (NUMBER sauce ) (SIZE and ) green peppers ) )
2216,(ORDER i would (PIZZAORDER like you to order me (NUMBER a ) (SIZE large-size ) pie with feta pesto (TOPPING and ) (TOPPING bacon ) ) )
2217,(ORDER i (PIZZAORDER think i'll order a margarita (NUMBER with ) peas and (TOPPING mushrooms ) and (TOPPING make ) it (TOPPING a ) media ) )
2218,(ORDER i would (PIZZAORDER like your (NUMBER a ) (SIZE lunch ) pizza with kimchi sweet (TOPPING corn ) and bacon ) )
2219,(ORDER (PIZZAORDER for tonight i just want (NUMBER one ) (SIZE lunch ) pie along with (TOPPING lettuce ) black (TOPPING olives ) but hold zucchini ) )
2220,(ORDER id appreciate (PIZZAORDER (NUMBER a ) al (TOPPING bacon ) and (TOPPING peppers ) pie and i do (NUMBER not ) want pineapple ) )
2221,(ORDER i (PIZZAORDER i'd like to get a stuff (NUMBER crust ) (STYLE coin ) pie with pesto ) )
2222,(ORDER (PIZZAORDER place my order for (NUMBER a ) (SIZE medium ) pizza with (TOPPING lamb ) ) )
2223,(ORDER (PIZZAORDER put in the order for (NUMBER four ) me sprite and (NUMBER two ) me pizzas with gluten-free crust except pineapple and onions ) )
2224,(ORDER i want (PIZZAORDER to get (NUMBER a ) pizza and i want to get the al size but i'd like yellow papers (TOPPING on ) there as well as bacon and pepperoni thanks a ) )
2225,(ORDER (PIZZAORDER do me (NUMBER a ) favor and please put up (NUMBER a ) pizza with tofu pine (TOPPING apple ) (TOPPING but ) do not add beef ) )
2226,(ORDER i think (PIZZAORDER all grab (NUMBER 1 ) (SIZE large-size ) pizza with black olive (TOPPING and ) (TOPPING chicken ) but (TOPPING do ) not add any extra cheese (NOT (QUANTITY please ) ) ) )
2227,(ORDER (PIZZAORDER i thinki'll grab a are tofu (NUMBER pizza ) and two Protein shakes ) )
2228,(ORDER i am (PIZZAORDER trying to order (NUMBER a ) (SIZE lunch ) (STYLE black ) (TOPPING beans ) pizza with more (TOPPING banana ) (TOPPING peppers ) hold the (NOT (TOPPING mushrooms ) ) ) )
2229,(ORDER i'll go (PIZZAORDER to the a all (SIZE pizza ) (STYLE with ) feta zucchini (TOPPING and ) (TOPPING mushrooms ) on (TOPPING it ) ) )
2230,(ORDER i'm just (PIZZAORDER (NUMBER take ) (STYLE a ) small veggie (SIZE pizza ) with caramelized onions (TOPPING and ) (TOPPING fresh ) green (TOPPING olives ) ) )
2231,(ORDER (PIZZAORDER (NUMBER eight ) canadian bacon and (NUMBER tofu ) (DRINKTYPE pizzas ) ) )
2232,(ORDER set (PIZZAORDER me up with (NUMBER two ) (SIZE personal ) pizzas with (TOPPING roasted ) garlic and (TOPPING mushrooms ) and (NUMBER one ) (SIZE small ) pizza with (QUANTITY a ) little (STYLE bit ) (TOPPING cheese ) ) )
2233,(ORDER repeat my favorite (PIZZAORDER order of (NUMBER a ) (SIZE lunch ) pizza with (TOPPING mushroom ) and (TOPPING beef ) on it no (NOT (TOPPING pesto ) ) ) )
2234,(ORDER can i ry (PIZZAORDER (NUMBER a ) (SIZE medium-size ) be sauce tomato sauce (TOPPING pizza ) (TOPPING without ) black beans ) )
2235,(ORDER (PIZZAORDER i'd like to order a pie (NUMBER which ) is medium-sizd along with roasted tomato and peppers (TOPPING but ) (TOPPING no ) all (TOPPING the ) veggies ) )
2236,(ORDER could i place (PIZZAORDER an oder (NUMBER 1 ) (SIZE small ) pizza along with (TOPPING mint ) and (TOPPING pineapple ) but avoid (NOT (TOPPING sausage ) ) ) )
2237,(ORDER i'd appreciate (PIZZAORDER a small (NUMBER parsley ) (SIZE pizza ) (TOPPING with ) little pesto (QUANTITY and ) (TOPPING no ) olives ) )
2238,(ORDER i need (PIZZAORDER you to over me (NUMBER eleven ) (SIZE largesse ) vegan (TOPPING pepperoni ) (TOPPING pizzas ) with a little sauce (STYLE and ) (TOPPING extra ) cheese ) )
2239,(ORDER i wanted (PIZZAORDER to have (NUMBER a ) (SIZE medium-sized ) pizza with tomatoes and (TOPPING ham ) and (TOPPING no ) little cheese ) )
2240,(ORDER please can i (PIZZAORDER have (NUMBER a ) (SIZE lunch ) pizza and the (TOPPING toppings ) (TOPPING i ) want are (TOPPING roasted ) eggplant and tuna olives please ) )
2241,(ORDER (PIZZAORDER can you please give me (NUMBER a ) (SIZE small ) (TOPPING ricotta ) (TOPPING cheese ) and (TOPPING shrimp ) (TOPPING pizza ) and no (NOT (TOPPING italian ) sausage please ) ) )
2242,(ORDER (PIZZAORDER good evening how are you please put up (NUMBER a ) pizza along with (TOPPING black ) (TOPPING olives ) (TOPPING cherry ) (TOPPING tomatoes ) but no (NOT (TOPPING roasted ) eggplant ) ) )
2243,(ORDER (PIZZAORDER do me (NUMBER a ) favor and please put up (NUMBER 1 ) (SIZE small ) hams pizza with (TOPPING peppers ) (TOPPING feta ) and (TOPPING green ) olives and (NUMBER a ) (SIZE small ) Apple juice ) )
2244,(ORDER (PIZZAORDER good evening how are you please put up (NUMBER a ) pie along with (TOPPING parmesan ) (TOPPING pineapples ) and without (NOT (TOPPING tuna ) ) ) )
2245,(ORDER sort me out (PIZZAORDER with (NUMBER fifteen ) me pizzas for me both with (TOPPING roasted ) (TOPPING garlic ) and (TOPPING alfredo ) (TOPPING chicken ) and without (NOT (TOPPING olives ) ) ) )
2246,(ORDER (PIZZAORDER (NUMBER get ) (SIZE a ) (SIZE extra ) large pizza with ship and (NUMBER a ) (SIZE extra ) large pizza with (TOPPING pepperoni ) and (TOPPING double ) (TOPPING cheese ) and i'd like two large (NUMBER cokes ) (SIZE and ) a small mountain dew ) )
2247,(ORDER (PIZZAORDER can you get me (NUMBER a ) (SIZE lunch ) (TOPPING red ) (TOPPING onions ) and sundries tomatoes (TOPPING pie ) (TOPPING with ) double cheese ) )
2248,(ORDER i would (PIZZAORDER like you to order me (NUMBER eight ) pizzas with more (TOPPING hummus ) and (TOPPING balsamic ) glaze ) )
2249,(ORDER i need (PIZZAORDER you to order me (NUMBER a ) pie with (TOPPING jalapeño ) (TOPPING peppers ) (TOPPING pineapple ) and no tuna ) )
2250,(ORDER i'd have (PIZZAORDER a largesse (NUMBER arugula ) (SIZE and ) (TOPPING shrimp ) pizza with (TOPPING peas ) ) )
2251,(ORDER i want (PIZZAORDER to have (NUMBER a ) (SIZE large ) (STYLE glutn-free ) crust onions mushrooms and (TOPPING pineapple ) pizza ) )
2252,(ORDER i need (PIZZAORDER to place an order for (NUMBER a ) (SIZE medium-sied ) green peppers and (TOPPING footing ) cheese pizza (TOPPING with ) no yellow papers (NOT (TOPPING please ) ) ) )
2253,(ORDER (PIZZAORDER i've decided on a mdium-size (NUMBER ricotta ) (STYLE cheese ) pizza with red (TOPPING onions ) (TOPPING and ) no peppers ) )
2254,(ORDER i'm (PIZZAORDER aiming for a highrise (NUMBER alfredo ) chicken pie (TOPPING with ) heavy sirach sauce ) )
2255,(ORDER i wanna (PIZZAORDER get (NUMBER 1 ) (SIZE small ) pizza with (TOPPING peppers ) and (TOPPING meatball ) and no (NOT (TOPPING pepperoni ) ) ) )
2256,(ORDER i wanted (PIZZAORDER (NUMBER a ) (SIZE small ) pie along with (TOPPING roasted ) (TOPPING eggplant ) (TOPPING and ) add some extra anchovies (QUANTITY but ) (TOPPING hold ) onions ) )
2257,(ORDER (PIZZAORDER place my order for (NUMBER a ) (SIZE medium-size ) jalapeños pie (TOPPING with ) extra alfredo (QUANTITY chicken ) (TOPPING and ) (TOPPING no ) beef ) )
2258,(ORDER i'm having (PIZZAORDER bunch of people over tonight so i need a lunch (NUMBER pizza ) (SIZE with ) yellow peppers (TOPPING and ) bacon and a medium (SIZE iced ) (DRINKTYPE tea ) ) )
2259,(ORDER i have (PIZZAORDER some friends coming over so i'll take a large (NUMBER pie ) (SIZE along ) with sweet potatoes (TOPPING and ) big meat (STYLE wayleaves ) ) )
2260,(ORDER how about placing (PIZZAORDER an order for (NUMBER a ) (TOPPING green ) (TOPPING olives ) and (TOPPING tuna ) pizza without (NOT (TOPPING onions ) ) ) )
2261,(ORDER (PIZZAORDER place an order for (NUMBER a ) pizza with smoked salmon (TOPPING sausage ) but hold (NOT (TOPPING mushrooms ) ) ) )
2262,(ORDER will try (PIZZAORDER (NUMBER a ) (SIZE large-size ) onion and (TOPPING leeks ) pie (TOPPING with ) no ground beef ) )
2263,(ORDER let me have (PIZZAORDER (NUMBER four ) (SIZE large ) Juice boxes (NUMBER one ) (SIZE small ) coke along with two (SIZE large ) (TOPPING green ) (TOPPING pepper ) pizzas with light (TOPPING parmesan ) ) )
2264,(ORDER this afternoon (PIZZAORDER i need (NUMBER just ) (SIZE a ) (SIZE extra ) large pie along with (TOPPING chard ) and add some a (SIZE little ) bit (TOPPING tuna ) but hold onions ) )
2265,(ORDER (PIZZAORDER my order today is for (NUMBER 10 ) (SIZE lunch ) pizzas with sliced (TOPPING buffalo ) sauce and (TOPPING lamb ) ) )
2266,(ORDER (PIZZAORDER h how are you i have an order for (NUMBER four ) (SIZE of ) pizzas make them both (SIZE extra ) large please i want (TOPPING tuna ) tofu but hold the (NOT (TOPPING onions ) ) ) )
2267,(ORDER (PIZZAORDER (NUMBER eight ) (SIZE lunch ) pizzas with (TOPPING red ) peppers garlic and (TOPPING ham ) ) )
2268,(ORDER i would like (PIZZAORDER to try the (NUMBER a ) (SIZE medium ) pie with (TOPPING garlic ) (TOPPING olives ) and (TOPPING ham ) please ) )
2269,(ORDER i'm going (PIZZAORDER to have pie (TOPPING which ) is feta cheese (TOPPING and ) (TOPPING arugula ) and (TOPPING no ) onions ) )
2270,(ORDER i would (PIZZAORDER love to get (NUMBER a ) (SIZE lunch ) (TOPPING hams ) red (TOPPING peppers ) pizza without (NOT (TOPPING lemon ) zest ) ) )
2271,(ORDER (PIZZAORDER (NUMBER a ) me pizza with no (NOT (TOPPING pesto ) please ) ) )
2272,(ORDER (PIZZAORDER how about setting me up 1 late pizza with (TOPPING thin ) (TOPPING crust ) and (TOPPING cherry ) (TOPPING tomatoes ) and no kimchi ) )
2273,(ORDER (PIZZAORDER (NUMBER a ) (STYLE al ) meatball only pizza and (NUMBER a ) (SIZE medium ) lamb and (TOPPING feta ) pizza nothing to drink ) )
2274,(ORDER i like (PIZZAORDER (NUMBER a ) (SIZE extra ) large canadian bacon pizza (NUMBER a ) (SIZE large ) ham and mushroom (NUMBER a ) (SIZE large ) (STYLE all ) the (TOPPING veggies ) and a (SIZE extra ) (SIZE large ) pepperoni pizza ) )
2275,(ORDER (PIZZAORDER for today i just want (NUMBER a ) (SIZE small ) truffle oil and (TOPPING artichokes ) pizza (TOPPING without ) the extra leeks ) )
2276,(ORDER (PIZZAORDER begin an order for (NUMBER a ) (SIZE lunch ) pizza with (TOPPING mint ) and (TOPPING low ) (TOPPING fat ) cheese but leave off the bail ) )
2277,(ORDER please may i (PIZZAORDER have (NUMBER a ) pie with (TOPPING hot ) peppers (TOPPING parmesan ) and lamb please ) )
2278,(ORDER ok i want (PIZZAORDER (NUMBER a ) al spicy (TOPPING red ) sauce and (TOPPING garlic ) pie with no gruyeres cheese ) )
2279,(ORDER i'd (PIZZAORDER like to order a extra (SIZE large ) (SIZE vegan ) pepperoni (TOPPING and ) (TOPPING onion ) pizza (TOPPING with ) no bacon ) )
2280,(ORDER i like (PIZZAORDER to have (NUMBER a ) (STYLE meat ) lovers pizza with (TOPPING red ) (TOPPING onion ) and no (NOT (QUANTITY extra ) (NOT (TOPPING mushroom ) please ) ) )
2281,(ORDER i would (PIZZAORDER the 5 person pizzas with zucchini got (TOPPING cheese ) (TOPPING and ) black (TOPPING olives ) and six (NUMBER large ) pizzas with pepperoni sausage and got cheese ) )
2282,(ORDER (PIZZAORDER do me (NUMBER a ) favor and (TOPPING make ) me a (TOPPING garlic ) and (TOPPING pepper ) pizza with no al the veggies ) )
2283,(ORDER i'd like (PIZZAORDER to put in an order for two al (NUMBER pizzas ) with buffalo sauce (TOPPING and ) (TOPPING bell ) pepper (TOPPING but ) (TOPPING no ) olives please ) )
2284,(ORDER (PIZZAORDER (SIZE extra ) large pizza with (TOPPING pepperonis ) and (TOPPING gluten-free ) crust no sauce ) )
2285,(ORDER repeat my (PIZZAORDER (NUMBER a ) (STYLE thin ) crust pizza with (TOPPING olives ) and no (NOT (QUANTITY additional ) (NOT (TOPPING green ) loves ) ) )
2286,(ORDER i wanted (PIZZAORDER (NUMBER a ) (SIZE medium-size ) banana peppers (TOPPING and ) (TOPPING tomato ) sauce (TOPPING pie ) (TOPPING no ) green olives ) )
2287,(ORDER i just need (PIZZAORDER (NUMBER a ) pizza with roast (TOPPING garlic ) (TOPPING bacon ) but hold the (NOT (QUANTITY additional ) (NOT (TOPPING cheese ) ) ) )
2288,(ORDER have six (PIZZAORDER (SIZE medium-sized ) cokes ) )
2289,(ORDER could i opt (PIZZAORDER for (SIZE a ) (SIZE medium-sized ) pizza with gorgonzola and (TOPPING a ) thin crust but no sausage ) )
2290,(ORDER i'd (PIZZAORDER prefer to go with a medium-sized (SIZE pizza ) (SIZE with ) gruyeres cheese and sundries (TOPPING tomatoes ) and no (TOPPING cherry ) tomatoes ) )
2291,(ORDER i'm leaning (PIZZAORDER toward a medim-sized (NUMBER pie ) with be (SIZE chicken ) peppers and no onions (TOPPING please ) ) )
2292,(ORDER looking for (PIZZAORDER (NUMBER a ) al pizza with (TOPPING parsley ) and (TOPPING jalapeños ) but no (NOT (TOPPING meatball ) ) ) )
2293,(ORDER (PIZZAORDER how about placing an order for (NUMBER 5 ) kombucha six lrge-size doctor (NUMBER peppers ) (SIZE and ) five lrge-size diet cokes ) )
2294,(ORDER i'd be (PIZZAORDER happywith six pizzas all (NUMBER with ) caramelized onions prosciutto (TOPPING and ) (TOPPING ruin ) please ) )
2295,(ORDER how about grabbing (PIZZAORDER (NUMBER a ) pie in (SIZE medium ) size along with bell (TOPPING peppers ) and (TOPPING gorgonzola ) but without mushrooms ) )
2296,(ORDER i'd like (PIZZAORDER to place an order or eight sprites (NUMBER six ) (DRINKTYPE al ) dr (DRINKTYPE peppers and ) five al (NUMBER diet ) (DRINKTYPE cokes ) ) )
2297,(ORDER (PIZZAORDER how about you get me (NUMBER a ) (SIZE medium-sized ) goat cheese and (TOPPING hams ) pizza (TOPPING with ) van ) )
2298,(ORDER i'd like (PIZZAORDER to try fifteen pizzas (NUMBER make ) them both me i want olives onions and pesto as well thanks a lot ) )
2299,(ORDER (PIZZAORDER hi how are you okay today i'd like to order ten extra (NUMBER large ) (SIZE pizzas ) with capers and (TOPPING mushy ) peas ) )
2300,(ORDER (PIZZAORDER pease give me a (NUMBER pizza ) with no artichokes ) )
2301,(ORDER i need (PIZZAORDER (NUMBER 11 ) (SIZE medium ) pizzas with (TOPPING be ) (TOPPING sauce ) and (TOPPING additional ) ham and (NUMBER one ) (SIZE medium ) pizza with (TOPPING pepperoni ) ) )
2302,(ORDER (PIZZAORDER i've decided on 1 pizza in al size along (SIZE with ) leeks olives sausage ) )
2303,(ORDER (PIZZAORDER i'm ready have 1 large-size (NUMBER pie ) (SIZE with ) mushy peas caramelized onions and pineapple please ) )
2304,(ORDER (PIZZAORDER good evening for tonight i'd like to try 9 lunch (NUMBER red ) (SIZE onions ) (TOPPING pizzas ) and one large (NUMBER parisian ) (SIZE pizza ) ) )
2305,(ORDER (PIZZAORDER my order for today is for (NUMBER a ) (SIZE large ) pizza with (TOPPING balsamic ) glaze ) )
2306,(ORDER for today i (PIZZAORDER just want gruyeres cheese hummus (TOPPING without ) (TOPPING red ) cabbage pizza ) )
2307,(ORDER i ill (PIZZAORDER try the (NUMBER a ) (SIZE lunch ) (TOPPING bacon ) and (TOPPING pesto ) pizza with no (NOT (TOPPING sausage ) ) ) )
2308,(ORDER i ike (PIZZAORDER (NUMBER a ) pickled onions (TOPPING and ) pepperoni (TOPPING pie ) with a dazzle cheese ) )
2309,(ORDER (PIZZAORDER (NUMBER fifteen ) (SIZE medium-size ) tofu and (TOPPING a ) two liter (NUMBER Sports ) (VOLUME drinks ) ) )
2310,(ORDER (PIZZAORDER could you please arrange for (NUMBER a ) (SIZE me ) all the (TOPPING meats ) (TOPPING arugula ) and (TOPPING ham ) pie ) )
2311,(ORDER (PIZZAORDER for tonight i just want (NUMBER a ) (SIZE personal ) pizza with (TOPPING cumin ) (TOPPING oregano ) and leks ) )
2312,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE lare-size ) pizza with pesto bacon and (TOPPING avoid ) (TOPPING onions ) ) )
2313,(ORDER (PIZZAORDER how about lacing an order for 15 (SIZE large-size ) (SIZE fat ) cheese and (TOPPING chicken ) (TOPPING pies ) with (TOPPING no ) ham ) )
2314,(ORDER (PIZZAORDER i'm aiming for a pizza (NUMBER which ) is me in size along with artichokes and (TOPPING mushrooms ) but (TOPPING no ) pineapple ) )
2315,(ORDER (PIZZAORDER (NUMBER six ) (SIZE large-size ) pizzas with pepperonis and (TOPPING salami ) ) )
2316,(ORDER (PIZZAORDER i think i'll have five pizzas (NUMBER and ) i'd like (TOPPING them ) all with artichokes and banana pepper (TOPPING but ) without (TOPPING lamb ) ) )
2317,(ORDER set me (PIZZAORDER with (NUMBER a ) (SIZE large ) (TOPPING banana ) peppers and (TOPPING oregano ) pie with light on the (NOT (TOPPING roasted ) (NOT (TOPPING tomatoes ) ) ) )
2318,(ORDER (PIZZAORDER begin an order for (NUMBER 1 ) (SIZE large ) pizza with (QUANTITY green ) peppers sirach (TOPPING sauce ) and black (TOPPING olives ) and (NUMBER two ) (SIZE large ) (DRINKTYPE Lemonade and ) two (NUMBER large ) (SIZE ice ) (DRINKTYPE teas ) ) )
2319,(ORDER (PIZZAORDER (NUMBER 3 ) al pizzas with (TOPPING arugula ) mushroom without (NOT (TOPPING olives ) ) ) )
2320,(ORDER i'll just (PIZZAORDER take nine pies with tofu and (TOPPING onions ) but no (TOPPING pepperoni ) ) )
2321,(ORDER (PIZZAORDER put in an orderer fourteen (NUMBER me ) pizzas with stuffed (TOPPING crust ) but onion and hot peppers and a large pizza with mushrooms and sausage ) )
2322,(ORDER i need (PIZZAORDER to put in another for (NUMBER a ) (SIZE medium-sized ) pie with arugula and (TOPPING pineapples ) and (TOPPING no ) sausage ) )
2323,(ORDER i am (PIZZAORDER (NUMBER just ) ordering soft drinks tonight give me (NUMBER a ) (SIZE small ) (TOPPING green ) bell (TOPPING peppers ) pizza with (QUANTITY a ) (STYLE little ) bit (TOPPING hamburger ) ) )
2324,(ORDER (PIZZAORDER how about grabbing 9 diet (NUMBER series ) (SIZE large-size ) 9 cokes also large-size and (SIZE then ) (SIZE just ) two pepsi ) )
2325,(ORDER (PIZZAORDER today i just need (NUMBER 11 ) al pizzas with (NUMBER one ) (DRINKTYPE pomegranate ) juice ) )
2326,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE personal ) (TOPPING pepperonis ) pizza and (NUMBER 1 ) (SIZE personal ) goat (TOPPING cheese ) pizza ) )
2327,(ORDER hook me (PIZZAORDER up with (NUMBER a ) pizza along with (TOPPING pineapple ) (TOPPING ham ) without (NOT (TOPPING peppers ) ) ) )
2328,(ORDER i'm leaning (PIZZAORDER toward a pizza (NUMBER with ) green pepper (TOPPING peppers ) (TOPPING and ) (TOPPING no ) chicken ) )
2329,(ORDER (PIZZAORDER i'd like an order played for a al (NUMBER pizza ) with chicken sausage (TOPPING and ) (TOPPING a ) little (STYLE cheese ) ) )
