id,tops,order
2216,(ORDER i would (PIZZAORDER like you to order me (NUMBER a ) (SIZE large-size ) pie with feta pesto (TOPPING and ) (TOPPING bacon ) ) ),i would like you to order me a large-size pie with feta pesto and bacon
2217,(ORDER i (PIZZAORDER think i'll order a margarita (NUMBER with ) peas and (TOPPING mushrooms ) and (TOPPING make ) it (TOPPING a ) medim ) ),i think i'll order a margarita with peas and mushrooms and make it a medim
2218,(ORDER i would (PIZZAORDER like your (NUMBER a ) lunh pizza with kimchi sweet corn (TOPPING and ) bacon ) ),i would like your a lunh pizza with kimchi sweet corn and bacon
2219,(ORDER (PIZZAORDER for tonight i just want (NUMBER one ) (SIZE lunch ) pie along with (TOPPING lettuce ) black (TOPPING olives ) but hold zucchini ) ),for tonight i just want one lunch pie along with lettuce black olives but hold zucchini
2220,(ORDER id appreciate (PIZZAORDER (NUMBER a ) xl (TOPPING bacon ) and (TOPPING peppers ) pie and i do (NUMBER not ) want pineapple ) ),id appreciate a xl bacon and peppers pie and i do not want pineapple
2221,(ORDER (PIZZAORDER i 'd like to get a (NUMBER stuff ) (STYLE crust ) cmin (TOPPING pie ) with pesto ) ),i 'd like to get a stuff crust cmin pie with pesto
2222,(ORDER (PIZZAORDER place my order for (NUMBER a ) (SIZE medium ) pizza with (TOPPING lamb ) ) ),place my order for a medium pizza with lamb
2223,(ORDER (PIZZAORDER put in the order for (NUMBER four ) med sprite and (NUMBER two ) med pizzas with gluten-free crust except pineapple and onions ) ),put in the order for four med sprite and two med pizzas with gluten-free crust except pineapple and onions
2224,(ORDER i want (PIZZAORDER to get (NUMBER a ) pizza and i want to get the xl size but i'd like yellow pepers (TOPPING on ) there as well as bacon and pepperoni thanks a ) ),i want to get a pizza and i want to get the xl size but i'd like yellow pepers on there as well as bacon and pepperoni thanks a lot
2225,(ORDER (PIZZAORDER do me (NUMBER a ) favor and please put up (NUMBER a ) pizza with tofu pine (TOPPING apple ) (TOPPING but ) do not add beef ) ),do me a favor and please put up a pizza with tofu pine apple but do not add beef
2226,(ORDER i think (PIZZAORDER 'll grab 1 (NUMBER large-size ) (SIZE pizza ) with black olive and (TOPPING chicken ) (TOPPING but ) do (TOPPING not ) add any extra cheese please ) ),i think 'll grab 1 large-size pizza with black olive and chicken but do not add any extra cheese please
2227,(ORDER (PIZZAORDER i thinki'll grab a lare tofu (NUMBER pizza ) and two Protein shakes ) ),i thinki'll grab a lare tofu pizza and two Protein shakes
2228,(ORDER i am (PIZZAORDER trying to order (NUMBER a ) (SIZE lunch ) (STYLE black ) (TOPPING beans ) pizza with more (TOPPING banana ) (TOPPING peppers ) hold the (NOT (TOPPING mushrooms ) ) ) ),i am trying to order a lunch black beans pizza with more banana peppers hold the mushrooms
2229,(ORDER i'll go (PIZZAORDER fo the a sall pizza with feta zucchini and (TOPPING mushrooms ) (TOPPING on ) it ) ),i'll go fo the a sall pizza with feta zucchini and mushrooms on it
2230,(ORDER i'l just (PIZZAORDER (NUMBER take ) (STYLE a ) small veggie (SIZE pizza ) with caramelized onions (TOPPING and ) (TOPPING fresh ) green (TOPPING olives ) ) ),i'l just take a small veggie pizza with caramelized onions and fresh green olives
2231,(ORDER (PIZZAORDER eght canadian bacon (TOPPING and ) tofu pizzas ) ),eght canadian bacon and tofu pizzas
2232,(ORDER set (PIZZAORDER me up with (NUMBER two ) (SIZE personal ) pizzas with (TOPPING roasted ) garlic and (TOPPING mushrooms ) and (NUMBER one ) (SIZE small ) pizza with (QUANTITY a ) little (STYLE bit ) (TOPPING cheese ) ) ),set me up with two personal pizzas with roasted garlic and mushrooms and one small pizza with a little bit cheese
2233,(ORDER repeat my favorite (PIZZAORDER order of (NUMBER a ) (SIZE lunch ) pizza with (TOPPING mushroom ) and (TOPPING beef ) on it no (NOT (TOPPING pesto ) ) ) ),repeat my favorite order of a lunch pizza with mushroom and beef on it no pesto
2234,(ORDER can i ry (PIZZAORDER (NUMBER a ) (SIZE medium-size ) bbq sauce (TOPPING tomatoe ) sauce (TOPPING pizza ) without black beans ) ),can i ry a medium-size bbq sauce tomatoe sauce pizza without black beans
2235,(ORDER (PIZZAORDER i'd like to order a pie (NUMBER which ) is medium-sizd along with roasted tomatos and peppers (TOPPING but ) (TOPPING no ) all the veggies ) ),i'd like to order a pie which is medium-sizd along with roasted tomatos and peppers but no all the veggies
2236,(ORDER could i place (PIZZAORDER an oder? 1 (NUMBER small ) (SIZE pizza ) along with mint (TOPPING and ) pineapple (TOPPING but ) avoid sausage ) ),could i place an oder? 1 small pizza along with mint and pineapple but avoid sausage
2237,(ORDER i'd apprecate (PIZZAORDER a small parsley pizza (NUMBER with ) (SIZE little ) (TOPPING pesto ) and no olives ) ),i'd apprecate a small parsley pizza with little pesto and no olives
2238,(ORDER i need (PIZZAORDER you to orer me (NUMBER eleven ) (SIZE largesize ) vegan pepperoni (TOPPING pizzas ) with a (NUMBER little ) sauce and (QUANTITY extra ) (TOPPING cheese ) ) ),i need you to orer me eleven largesize vegan pepperoni pizzas with a little sauce and extra cheese
2239,(ORDER i wanted (PIZZAORDER to have (NUMBER a ) (SIZE medium-sized ) pizza with toatoes and (TOPPING ham ) and no litle cheese ) ),i wanted to have a medium-sized pizza with toatoes and ham and no litle cheese
2240,(ORDER (PIZZAORDER plese can i have a (NUMBER lunh ) pizza and the toppings i (TOPPING want ) (TOPPING are ) roasted eggplant (TOPPING and ) tuna olives please ) ),plese can i have a lunh pizza and the toppings i want are roasted eggplant and tuna olives please
2241,(ORDER (PIZZAORDER can you please give me (NUMBER a ) (SIZE small ) (TOPPING ricotta ) (TOPPING cheese ) and (TOPPING shrimp ) (TOPPING pizza ) and no (NOT (TOPPING italian ) sausage please ) ) ),can you please give me a small ricotta cheese and shrimp pizza and no italian sausage please
2242,(ORDER (PIZZAORDER good evening how are you please put up (NUMBER a ) pizza along with (TOPPING black ) (TOPPING olives ) (TOPPING cherry ) (TOPPING tomatoes ) but no (NOT (TOPPING roasted ) eggplant ) ) ),good evening how are you please put up a pizza along with black olives cherry tomatoes but no roasted eggplant
2243,(ORDER (PIZZAORDER do me (NUMBER a ) favor and please put up (NUMBER 1 ) (SIZE small ) hams pizza with (TOPPING peppers ) (TOPPING feta ) and (TOPPING green ) olives and (NUMBER a ) (SIZE small ) Apple juice ) ),do me a favor and please put up 1 small hams pizza with peppers feta and green olives and a small Apple juice
2244,(ORDER (PIZZAORDER good evening how are you please put up a pie along with parmasean (TOPPING pineapples ) and without tuna ) ),good evening how are you please put up a pie along with parmasean pineapples and without tuna
2245,(ORDER (PIZZAORDER sort me out wth ffteen med pizzas for me both with roasted garlic (TOPPING and ) (TOPPING alfredo ) chicken and without olives ) ),sort me out wth ffteen med pizzas for me both with roasted garlic and alfredo chicken and without olives
2246,(ORDER (PIZZAORDER get (SIZE a ) (SIZE extra ) large pizza with (TOPPING shimp ) and (NUMBER a ) (SIZE extra ) (SIZE large ) pizza with pepperoni (TOPPING and ) double (TOPPING cheese ) (TOPPING and ) i'd like two large cokes (NUMBER and ) (SIZE a ) small mountain dew ) ),get a extra large pizza with shimp and a extra large pizza with pepperoni and double cheese and i'd like two large cokes and a small mountain dew
2247,(ORDER (PIZZAORDER can yu get me (NUMBER a ) (SIZE lunch ) (TOPPING red ) (TOPPING onions ) and sun-dried (QUANTITY tomatoes ) pie with doule cheese ) ),can yu get me a lunch red onions and sun-dried tomatoes pie with doule cheese
2248,(ORDER i would (PIZZAORDER like you to order me (NUMBER eight ) pizzas with more (TOPPING hummus ) and (TOPPING balsamic ) glaze ) ),i would like you to order me eight pizzas with more hummus and balsamic glaze
2249,(ORDER i need (PIZZAORDER you to order me (NUMBER a ) pie with (TOPPING jalepeno ) (TOPPING peppers ) (TOPPING pineapple ) and no (NOT (TOPPING tuna ) ) ) ),i need you to order me a pie with jalepeno peppers pineapple and no tuna
2250,(ORDER i'd (PIZZAORDER have a large-sze (NUMBER arugula ) (SIZE and ) shrimp pizza with peas ) ),i'd have a large-sze arugula and shrimp pizza with peas
2251,(ORDER i want (PIZZAORDER to have (NUMBER a ) (SIZE large ) (STYLE glutn-free ) crust onions mushrooms and (TOPPING pinapple ) pizza ) ),i want to have a large glutn-free crust onions mushrooms and pinapple pizza
2252,(ORDER i need (PIZZAORDER to place an order for (NUMBER a ) (SIZE medium-sied ) green peppers and (TOPPING fontina ) cheese pizza (TOPPING with ) no yellow pepers please ) ),i need to place an order for a medium-sied green peppers and fontina cheese pizza with no yellow pepers please
2253,(ORDER (PIZZAORDER i've decided on a mdium-size (NUMBER ricotta ) (STYLE cheese ) pizza with red (TOPPING onons ) (TOPPING and ) no peppers ) ),i've decided on a mdium-size ricotta cheese pizza with red onons and no peppers
2254,(ORDER i'm aiming (PIZZAORDER for a high-rise (SIZE alfredo ) chicken pie (TOPPING with ) heavyon (TOPPING sriracha ) sauce ) ),i'm aiming for a high-rise alfredo chicken pie with heavyon sriracha sauce
2255,(ORDER i wanna (PIZZAORDER get (NUMBER 1 ) (SIZE small ) pizza with (TOPPING peppers ) and (TOPPING meatball ) and no (NOT (TOPPING pepperoni ) ) ) ),i wanna get 1 small pizza with peppers and meatball and no pepperoni
2256,(ORDER i wanted (PIZZAORDER (NUMBER a ) (SIZE small ) pie along with (TOPPING roasted ) (TOPPING eggplant ) (TOPPING and ) add some extra anchovies (QUANTITY but ) (TOPPING hold ) onions ) ),i wanted a small pie along with roasted eggplant and add some extra anchovies but hold onions
2257,(ORDER (PIZZAORDER place my order for (NUMBER a ) (SIZE medium-size ) jalepenos (STYLE pie ) (TOPPING with ) extra alfredo (QUANTITY chicken ) (TOPPING and ) (TOPPING no ) beef ) ),place my order for a medium-size jalepenos pie with extra alfredo chicken and no beef
2258,(ORDER i'm havinga (PIZZAORDER bunch of people over tonight so i need a lunch pizza (SIZE with ) yellow peppers and (TOPPING bacon ) and a medium (NUMBER iced ) (SIZE tea ) ) ),i'm havinga bunch of people over tonight so i need a lunch pizza with yellow peppers and bacon and a medium iced tea
2259,(ORDER i have (PIZZAORDER some friends coming over so i'll take a large (NUMBER pie ) (SIZE along ) with sweet potatoes (TOPPING and ) big meat (TOPPING bayleaves ) ) ),i have some friends coming over so i'll take a large pie along with sweet potatoes and big meat bayleaves
2260,(ORDER how about placing (PIZZAORDER an order for (NUMBER a ) (TOPPING green ) (TOPPING olives ) and (TOPPING tuna ) pizza without (NOT (TOPPING onions ) ) ) ),how about placing an order for a green olives and tuna pizza without onions
2261,(ORDER (PIZZAORDER place an order for (NUMBER a ) pizza with smoked salmon (TOPPING sausage ) but hold (NOT (TOPPING mushrooms ) ) ) ),place an order for a pizza with smoked salmon sausage but hold mushrooms
2262,(ORDER iwill try (PIZZAORDER a large-size (NUMBER onion ) (SIZE and ) leeks pie with no (TOPPING ground ) beef ) ),iwill try a large-size onion and leeks pie with no ground beef
2263,(ORDER let me have (PIZZAORDER (NUMBER four ) (SIZE large ) Juice boxes (NUMBER one ) (SIZE small ) coke along with (NUMBER two ) (SIZE large ) (TOPPING green ) (TOPPING pepper ) pizzas with light (TOPPING parmsan ) ) ),let me have four large Juice boxes one small coke along with two large green pepper pizzas with light parmsan
2264,(ORDER this afternoon (PIZZAORDER i need (NUMBER just ) (SIZE a ) (SIZE extra ) large pie along with (TOPPING chard ) and add some a (SIZE little ) bit (TOPPING tuna ) but hold onions ) ),this afternoon i need just a extra large pie along with chard and add some a little bit tuna but hold onions
2265,(ORDER (PIZZAORDER my order today is for (NUMBER 10 ) (SIZE lunch ) pizzas with sliced (TOPPING buffalo ) sauce and (TOPPING lamb ) ) ),my order today is for 10 lunch pizzas with sliced buffalo sauce and lamb
2266,(ORDER (PIZZAORDER h how are you i have an order for (NUMBER four ) (SIZE of ) pizzas make them both (SIZE extra ) large please i want (TOPPING tuna ) tofu but hold the (NOT (TOPPING onions ) ) ) ),h how are you i have an order for four of pizzas make them both extra large please i want tuna tofu but hold the onions
2267,(ORDER (PIZZAORDER (NUMBER eight ) (SIZE lunch ) pizzas with (TOPPING red ) peppers garlic and (TOPPING ham ) ) ),eight lunch pizzas with red peppers garlic and ham
2268,(ORDER i would like (PIZZAORDER to try the (NUMBER a ) (SIZE medium ) pie with (TOPPING garlic ) (TOPPING olives ) and (TOPPING ham ) please ) ),i would like to try the a medium pie with garlic olives and ham please
2269,(ORDER i'm going (PIZZAORDER to have pie (TOPPING which ) is feta cheese (TOPPING and ) (TOPPING arugua ) and (TOPPING no ) onions ) ),i'm going to have pie which is feta cheese and arugua and no onions
2270,(ORDER i (PIZZAORDER would love to get (NUMBER a ) lnch hams (TOPPING red ) (TOPPING peppers ) pizza without lemon (NOT (TOPPING zest ) ) ) ),i would love to get a lnch hams red peppers pizza without lemon zest
2271,(ORDER (PIZZAORDER (NUMBER a ) (STYLE med ) pizza with no (NOT (TOPPING pesto ) please ) ) ),a med pizza with no pesto please
2272,(ORDER (PIZZAORDER how about setting me up 1 lage pizza with thin crust (TOPPING and ) cherry (TOPPING tomatoes ) (TOPPING and ) no kimchi ) ),how about setting me up 1 lage pizza with thin crust and cherry tomatoes and no kimchi
2273,(ORDER (PIZZAORDER (NUMBER a ) (STYLE xl ) meatball only pizza and (NUMBER a ) (SIZE medium ) lamb and (TOPPING feta ) pizza nothing to drink ) ),a xl meatball only pizza and a medium lamb and feta pizza nothing to drink
2274,(ORDER i like (PIZZAORDER (NUMBER a ) (SIZE extra ) large canadian bacon pizza (NUMBER a ) (SIZE large ) ham and mushroom (NUMBER a ) (SIZE large ) (STYLE all ) the (TOPPING veggies ) and a (SIZE extra ) (SIZE large ) pepperoni pizza ) ),i like a extra large canadian bacon pizza a large ham and mushroom a large all the veggies and a extra large pepperoni pizza
2275,(ORDER (PIZZAORDER for today i just want (NUMBER a ) (SIZE small ) truffle oil and (TOPPING artichokes ) pizza (TOPPING without ) the extra leeks ) ),for today i just want a small truffle oil and artichokes pizza without the extra leeks
2276,(ORDER (PIZZAORDER begin an order for (NUMBER a ) (SIZE lunch ) pizza with (TOPPING mint ) and (TOPPING low ) (TOPPING fat ) cheese but leave off the bail ) ),begin an order for a lunch pizza with mint and low fat cheese but leave off the bail
2277,(ORDER please may i (PIZZAORDER have (NUMBER a ) pie with (TOPPING hot ) peppers parmasean (TOPPING and ) lamb please ) ),please may i have a pie with hot peppers parmasean and lamb please
2278,(ORDER ok i want (PIZZAORDER (NUMBER a ) xl spicy (TOPPING red ) sauce and (TOPPING garlic ) pie with no gruyere cheese ) ),ok i want a xl spicy red sauce and garlic pie with no gruyere cheese
2279,(ORDER i'd (PIZZAORDER like to order a extra (SIZE large ) (SIZE vegan ) pepperoni (TOPPING and ) (TOPPING onion ) pizza (TOPPING with ) no bacon ) ),i'd like to order a extra large vegan pepperoni and onion pizza with no bacon
2280,(ORDER i like (PIZZAORDER to have (NUMBER a ) (STYLE meat ) lovers pizza with (TOPPING red ) onion and no (NOT (QUANTITY extra ) (NOT (TOPPING muhroom ) please ) ) ),i like to have a meat lovers pizza with red onion and no extra muhroom please
2281,(ORDER i would tae (PIZZAORDER 5 personl pizzas with zucchini got cheese (TOPPING and ) black olives (TOPPING and ) six large (NUMBER pizzas ) with pepperoni sausage and got cheese ) ),i would tae 5 personl pizzas with zucchini got cheese and black olives and six large pizzas with pepperoni sausage and got cheese
2282,(ORDER (PIZZAORDER do me (NUMBER a ) favor and (TOPPING make ) me a (TOPPING garlic ) and (TOPPING pepper ) pizza with no al the veggies ) ),do me a favor and make me a garlic and pepper pizza with no al the veggies
2283,(ORDER i'd like (PIZZAORDER to put in an order for two xl (NUMBER pizzas ) with buffalo sauce (TOPPING and ) (TOPPING bell ) peppes (TOPPING but ) (TOPPING no ) olives please ) ),i'd like to put in an order for two xl pizzas with buffalo sauce and bell peppes but no olives please
2284,(ORDER (PIZZAORDER (SIZE extra ) large pizza with (TOPPING pepperonis ) and (TOPPING gluten-free ) crust no sauce ) ),extra large pizza with pepperonis and gluten-free crust no sauce
2285,(ORDER repeat my (PIZZAORDER (NUMBER a ) (STYLE thin ) crust pizza with (TOPPING olives ) and no additional (NOT (TOPPING green ) olves ) ) ),repeat my a thin crust pizza with olives and no additional green olves
2286,(ORDER i wanted (PIZZAORDER (NUMBER a ) (SIZE medium-size ) banana peppers (TOPPING and ) (TOPPING tomato ) sauce (TOPPING pie ) (TOPPING no ) green olives ) ),i wanted a medium-size banana peppers and tomato sauce pie no green olives
2287,(ORDER i just need (PIZZAORDER (NUMBER a ) pizza with (TOPPING roastd ) (TOPPING garlic ) (TOPPING bacon ) but hold the (NOT (QUANTITY additional ) (NOT (TOPPING cheese ) ) ) ),i just need a pizza with roastd garlic bacon but hold the additional cheese
2288,(ORDER have six (PIZZAORDER (SIZE medium-sized ) cokes ) ),have six medium-sized cokes
2289,(ORDER could i opt (PIZZAORDER for (SIZE a ) (SIZE medium-sized ) pizza with gorgonzola and (TOPPING a ) thin crust but no sausage ) ),could i opt for a medium-sized pizza with gorgonzola and a thin crust but no sausage
2290,(ORDER (PIZZAORDER i'd prefer to go with a medium-sized (SIZE pizza ) (SIZE with ) gruyere cheese and sun-dried tomatoes and no (TOPPING cherry ) tmatoes ) ),i'd prefer to go with a medium-sized pizza with gruyere cheese and sun-dried tomatoes and no cherry tmatoes
2291,(ORDER i'm leaning (PIZZAORDER toward a medim-sized (NUMBER pie ) with bbq (SIZE chcken ) peppers and no (TOPPING onions ) please ) ),i'm leaning toward a medim-sized pie with bbq chcken peppers and no onions please
2292,(ORDER looking for (PIZZAORDER (NUMBER a ) xl pizza with (TOPPING parsley ) and (TOPPING jalapenos ) but no (NOT (TOPPING meatall ) ) ) ),looking for a xl pizza with parsley and jalapenos but no meatall
2293,(ORDER (PIZZAORDER how about placing an order for (NUMBER 5 ) kombucha six lrge-size doctor (NUMBER peppers ) (SIZE and ) five lrge-size diet cokes ) ),how about placing an order for 5 kombucha six lrge-size doctor peppers and five lrge-size diet cokes
2294,(ORDER i'd be (PIZZAORDER happywith six pizzas all (NUMBER with ) caramelized onions prosciutto (TOPPING and ) (TOPPING cuin ) please ) ),i'd be happywith six pizzas all with caramelized onions prosciutto and cuin please
2295,(ORDER (PIZZAORDER how about grabbig a pie (NUMBER in ) medium size (SIZE along ) with bell peppers and (TOPPING gorgonzola ) but (TOPPING without ) mushrooms ) ),how about grabbig a pie in medium size along with bell peppers and gorgonzola but without mushrooms
2296,(ORDER i'd like (PIZZAORDER to place an order or eight sprites (NUMBER six ) (DRINKTYPE xl ) dr (DRINKTYPE peppers and ) five xl (NUMBER diet ) (DRINKTYPE cokes ) ) ),i'd like to place an order or eight sprites six xl dr peppers and five xl diet cokes
2297,(ORDER (PIZZAORDER how about you get me (NUMBER a ) (SIZE medium-sized ) goat cheese and (TOPPING hams ) pizza (TOPPING with ) vgan ) ),how about you get me a medium-sized goat cheese and hams pizza with vgan
2298,(ORDER i'd like (PIZZAORDER to try fifteen pizzas (NUMBER make ) them both med i want olives onions and pesto as well thanks a lot ) ),i'd like to try fifteen pizzas make them both med i want olives onions and pesto as well thanks a lot
2299,(ORDER (PIZZAORDER hi how are you okay today i'd like to order ten etra large pizzas with (SIZE capers ) and mushy (TOPPING peas ) ) ),hi how are you okay today i'd like to order ten etra large pizzas with capers and mushy peas
2300,(ORDER (PIZZAORDER pease give me a (NUMBER pizza ) with no artichokes ) ),pease give me a pizza with no artichokes
2301,(ORDER i need (PIZZAORDER (NUMBER 11 ) (SIZE medium ) pizzas with (TOPPING bbq ) sauce and (TOPPING additional ) ham and (NUMBER one ) (SIZE medium ) pizza with (TOPPING pepperoni ) ) ),i need 11 medium pizzas with bbq sauce and additional ham and one medium pizza with pepperoni
2302,(ORDER (PIZZAORDER i've decided on 1 pizza in xl size along (SIZE with ) leeks olives sausage ) ),i've decided on 1 pizza in xl size along with leeks olives sausage
2303,(ORDER (PIZZAORDER i'm readyto have 1 large-size pie (SIZE with ) (SIZE mushy ) peas caramelized onions and pineapple (TOPPING please ) ) ),i'm readyto have 1 large-size pie with mushy peas caramelized onions and pineapple please
2304,(ORDER (PIZZAORDER good evening for tonight i'd like to try 9 lunch (NUMBER red ) (SIZE onions ) (TOPPING pizzas ) and one large (NUMBER parasean ) (SIZE pizza ) ) ),good evening for tonight i'd like to try 9 lunch red onions pizzas and one large parasean pizza
2305,(ORDER (PIZZAORDER my order for today is for (NUMBER a ) (SIZE large ) pizza with (TOPPING balsamic ) glaze ) ),my order for today is for a large pizza with balsamic glaze
2306,(ORDER for today i (PIZZAORDER just wnt gruyere cheese hummus without (TOPPING red ) (TOPPING cabbage ) pizza ) ),for today i just wnt gruyere cheese hummus without red cabbage pizza
2307,(ORDER i ill (PIZZAORDER try the a lunh bacon (TOPPING and ) psto (TOPPING pizza ) with no sausage ) ),i ill try the a lunh bacon and psto pizza with no sausage
2308,(ORDER i ike (PIZZAORDER (NUMBER a ) pickled onions (TOPPING and ) pepperoni (TOPPING pie ) with a dizzle cheese ) ),i ike a pickled onions and pepperoni pie with a dizzle cheese
2309,(ORDER (PIZZAORDER fiften medium-size tofu (NUMBER and ) a two (TOPPING liter ) Sports drinks ) ),fiften medium-size tofu and a two liter Sports drinks
2310,(ORDER (PIZZAORDER could you please arrange for (NUMBER a ) (STYLE med ) all the (TOPPING meats ) (TOPPING argula ) and ham pie ) ),could you please arrange for a med all the meats argula and ham pie
2311,(ORDER (PIZZAORDER for tonight i just want (NUMBER a ) (SIZE personal ) pizza with (TOPPING cumin ) (TOPPING oregano ) and leks ) ),for tonight i just want a personal pizza with cumin oregano and leks
2312,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE lare-size ) pizza with pesto bacon and (TOPPING avoid ) (TOPPING onions ) ) ),1 lare-size pizza with pesto bacon and avoid onions
2313,(ORDER (PIZZAORDER how about lacing an order for 15 (SIZE large-size ) (SIZE fta ) cheese and chicken pies (TOPPING with ) no (TOPPING ham ) ) ),how about lacing an order for 15 large-size fta cheese and chicken pies with no ham
2314,(ORDER (PIZZAORDER i'm aiming for a pizza (NUMBER which ) is med in size along with artichoes and (TOPPING mushrooms ) but no pineapple ) ),i'm aiming for a pizza which is med in size along with artichoes and mushrooms but no pineapple
2315,(ORDER (PIZZAORDER (NUMBER six ) (SIZE large-size ) pizzas with pepperonis and (TOPPING salami ) ) ),six large-size pizzas with pepperonis and salami
2316,(ORDER (PIZZAORDER i think i'll have five pizzas (NUMBER and ) i'd like (TOPPING them ) all with artichokes and banana pepper (TOPPING but ) without (TOPPING lamb ) ) ),i think i'll have five pizzas and i'd like them all with artichokes and banana pepper but without lamb
2317,(ORDER set meup (PIZZAORDER with a (NUMBER large ) (SIZE banana ) (TOPPING peppers ) and oregano (TOPPING pie ) with light on the roasted (NOT (TOPPING toatoes ) ) ) ),set meup with a large banana peppers and oregano pie with light on the roasted toatoes
2318,(ORDER (PIZZAORDER begin an order for (NUMBER 1 ) (SIZE large ) pizza with (TOPPING green ) peppers sriracha sauce (TOPPING and ) (TOPPING black ) olives (TOPPING and ) two large (NUMBER Lemonade ) (SIZE and ) (DRINKTYPE two large ) ice (NUMBER teas ) ) ),begin an order for 1 large pizza with green peppers sriracha sauce and black olives and two large Lemonade and two large ice teas
2319,(ORDER (PIZZAORDER (NUMBER 3 ) xl pizzas with (TOPPING arugula ) mushroom without (NOT (TOPPING olives ) ) ) ),3 xl pizzas with arugula mushroom without olives
2320,(ORDER i'll just (PIZZAORDER take nine pies with tofu and (TOPPING onions ) but no (TOPPING pepperoni ) ) ),i'll just take nine pies with tofu and onions but no pepperoni
2321,(ORDER (PIZZAORDER put in an orderfor furteen med pizzas with stuffed crust but onion and hot peppers and a large pizza with mushrooms and sausage ) ),put in an orderfor furteen med pizzas with stuffed crust but onion and hot peppers and a large pizza with mushrooms and sausage
2322,(ORDER i need (PIZZAORDER to put in (NUMBER anorder ) for a (NUMBER medium-sized ) (SIZE pie ) with arugula and pineapples (TOPPING and ) no sausage ) ),i need to put in anorder for a medium-sized pie with arugula and pineapples and no sausage
2323,(ORDER i am (PIZZAORDER (NUMBER just ) ordering soft drinks tonight give me (NUMBER a ) (SIZE small ) (TOPPING green ) bell (TOPPING peppers ) pizza with (QUANTITY a ) (STYLE little ) bit (TOPPING hamburger ) ) ),i am just ordering soft drinks tonight give me a small green bell peppers pizza with a little bit hamburger
2324,(ORDER (PIZZAORDER how about grabbing 9 diet spries (NUMBER large-size ) (SIZE 9 ) cokes also large-size and (NUMBER then ) (SIZE just ) (SIZE two ) pepsis ) ),how about grabbing 9 diet spries large-size 9 cokes also large-size and then just two pepsis
2325,(ORDER (PIZZAORDER today i just need (NUMBER 11 ) xl pizzas with (NUMBER one ) (DRINKTYPE Pomeganate ) juice ) ),today i just need 11 xl pizzas with one Pomeganate juice
2326,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE personal ) (TOPPING pepperonis ) pizza and (NUMBER 1 ) (SIZE personal ) goat (TOPPING cheese ) pizza ) ),1 personal pepperonis pizza and 1 personal goat cheese pizza
2327,(ORDER hook me (PIZZAORDER up with (NUMBER a ) pizza along with (TOPPING pineapple ) (TOPPING ham ) without (NOT (TOPPING peppers ) ) ) ),hook me up with a pizza along with pineapple ham without peppers
2328,(ORDER i'm leaning (PIZZAORDER toward a pizza (NUMBER with ) green pepper (TOPPING peppers ) (TOPPING and ) (TOPPING no ) chicken ) ),i'm leaning toward a pizza with green pepper peppers and no chicken
2329,(ORDER i'd like an (PIZZAORDER order (NUMBER plaed ) for a xl pizza with chicken sausage and (TOPPING a ) (TOPPING little ) cheese ) ),i'd like an order plaed for a xl pizza with chicken sausage and a little cheese
2330,(ORDER i'll go (PIZZAORDER for ten pizzas (NUMBER with ) mushrooms three (TOPPING Ginger ) beer (NUMBER and ) (DRINKTYPE four ) extra (NUMBER large ) (SIZE diet ) sprites ) ),i'll go for ten pizzas with mushrooms three Ginger beer and four extra large diet sprites
2331,(ORDER i will (PIZZAORDER try the (NUMBER nine ) (SIZE large-size ) pizzas along with sweet potatoes (TOPPING and ) tuna ) ),i will try the nine large-size pizzas along with sweet potatoes and tuna
2332,(ORDER sort me (PIZZAORDER out with (NUMBER a ) (SIZE small ) pizza with (TOPPING broccoli ) and a tiny bit of bacon only no mushrooms ) ),sort me out with a small pizza with broccoli and a tiny bit of bacon only no mushrooms
2333,(ORDER (PIZZAORDER for today i justwant 8 medium-sized (NUMBER specialty ) (SIZE new ) york style (STYLE pizzas ) ) ),for today i justwant 8 medium-sized specialty new york style pizzas
2334,(ORDER i will (PIZZAORDER go for (NUMBER 1 ) (SIZE personal ) pizza with (TOPPING meatball ) and sriracha sauce and (TOPPING no ) pineapple ) ),i will go for 1 personal pizza with meatball and sriracha sauce and no pineapple
2335,(ORDER plase get (PIZZAORDER me pie along with tomato (TOPPING sauce ) (TOPPING vegan ) (TOPPING pepperoni ) (TOPPING but ) no ham ) ),plase get me pie along with tomato sauce vegan pepperoni but no ham
2336,(ORDER (PIZZAORDER pleae i want jalapenos (NOT (TOPPING arugula ) without sun-dried tomatoes pizza ) ) ),pleae i want jalapenos arugula without sun-dried tomatoes pizza
2337,(ORDER would like (PIZZAORDER (NUMBER ten ) (SIZE medium ) (TOPPING mushrooms ) and (TOPPING ham ) pizzas with no (NOT (TOPPING jaleeno ) peppers ) ) ),would like ten medium mushrooms and ham pizzas with no jaleeno peppers
2338,(ORDER (PIZZAORDER for today just want (NUMBER a ) (SIZE small ) (TOPPING ice ) teas with a (TOPPING sausage ) and (TOPPING onion ) pizza with a (QUANTITY little ) (TOPPING cheese ) ) ),for today  just want a small ice teas with a sausage and onion pizza with a little cheese
